dataset, firstfit, firstfitdecreasing, MBS, MBS', MBS'sampling, best known solution
u500_00, 211, 201, 201, 201, 199, 198
u500_01, 213, 204, 202, 202, 202, 201
u500_02, 212, 205, 204, 204, 203, 202
u500_03, 216, 207, 207, 207, 205, 204
u500_04, 219, 209, 207, 207, 207, 206
u500_05, 219, 207, 208, 208, 207, 206
u500_06, 220, 210, 210, 210, 209, 207
u500_07, 219, 207, 206, 206, 206, 204
u500_08, 207, 199, 198, 198, 197, 196
u500_09, 213, 204, 204, 204, 203, 202
u500_10, 210, 202, 201, 201, 201, 200
u500_11, 212, 203, 201, 201, 201, 200
u500_12, 210, 202, 200, 200, 200, 199
u500_13, 208, 198, 197, 197, 197, 196
u500_14, 215, 206, 206, 206, 205, 204
u500_15, 212, 204, 202, 202, 202, 201
u500_16, 212, 205, 203, 203, 203, 202
u500_17, 207, 201, 199, 199, 199, 198
u500_18, 212, 205, 203, 203, 203, 202
u500_19, 208, 199, 197, 197, 197, 196
