dataset, firstfit, firstfitdecreasing, MBS, MBS', MBS'sampling, best known solution
u120_00, 50, 49, 51, 50, 49, 48
u120_01, 51, 49, 50, 50, 50, 49
u120_02, 48, 47, 47, 47, 47, 46
u120_03, 52, 50, 51, 51, 50, 49
u120_04, 52, 50, 51, 51, 51, 50
u120_05, 52, 49, 49, 49, 49, 48
u120_06, 51, 49, 49, 49, 49, 48
u120_07, 52, 50, 51, 51, 50, 49
u120_08, 54, 51, 52, 52, 52, 51
u120_09, 49, 47, 48, 48, 47, 46
u120_10, 56, 52, 53, 54, 53, 52
u120_11, 52, 50, 51, 51, 50, 49
u120_12, 52, 49, 49, 49, 49, 48
u120_13, 51, 49, 50, 50, 50, 49
u120_14, 53, 50, 51, 51, 51, 50
u120_15, 53, 49, 49, 49, 49, 48
u120_16, 56, 52, 53, 53, 53, 52
u120_17, 56, 53, 55, 54, 53, 52
u120_18, 52, 50, 50, 51, 50, 49
u120_19, 52, 50, 51, 50, 50, 50
