dataset, firstfit, firstfitdecreasing, MBS, MBS', MBS'sampling, best known solution
u1000_00, 420, 403, 400, 400, 400, 399
u1000_01, 427, 411, 407, 407, 407, 406
u1000_02, 433, 416, 414, 414, 412, 411
u1000_03, 435, 416, 415, 415, 413, 411
u1000_04, 419, 402, 399, 399, 398, 397
u1000_05, 421, 404, 401, 401, 400, 399
u1000_06, 416, 399, 396, 396, 396, 395
u1000_07, 426, 408, 406, 406, 405, 404
u1000_08, 419, 404, 400, 400, 400, 399
u1000_09, 418, 404, 399, 399, 398, 397
u1000_10, 420, 404, 402, 402, 401, 400
u1000_11, 423, 405, 402, 402, 402, 401
u1000_12, 414, 398, 395, 395, 394, 393
u1000_13, 415, 401, 397, 397, 397, 396
u1000_14, 415, 400, 396, 396, 395, 394
u1000_15, 422, 408, 404, 404, 403, 402
u1000_16, 425, 407, 406, 406, 405, 404
u1000_17, 422, 409, 406, 406, 405, 404
u1000_18, 419, 403, 400, 400, 400, 399
u1000_19, 421, 406, 402, 402, 401, 400
