dataset, firstfit, firstfitdecreasing, MBS, MBS', MBS'sampling, best known solution
t249_00, 91, 94, 99, 99, 91, 83
t249_01, 91, 96, 101, 101, 91, 83
t249_02, 92, 95, 101, 101, 90, 83
t249_03, 93, 95, 100, 100, 91, 83
t249_04, 92, 95, 101, 101, 91, 83
t249_05, 93, 95, 100, 100, 90, 83
t249_06, 92, 95, 101, 100, 91, 83
t249_07, 92, 96, 101, 101, 91, 83
t249_08, 92, 95, 100, 100, 91, 83
t249_09, 91, 95, 100, 100, 91, 83
t249_10, 93, 95, 101, 100, 91, 83
t249_11, 94, 96, 101, 101, 91, 83
t249_12, 92, 94, 99, 99, 91, 83
t249_13, 93, 96, 102, 102, 91, 83
t249_14, 93, 95, 100, 100, 91, 83
t249_15, 91, 95, 101, 101, 91, 83
t249_16, 92, 96, 101, 101, 91, 83
t249_17, 92, 94, 100, 100, 91, 83
t249_18, 92, 94, 100, 100, 91, 83
t249_19, 94, 96, 100, 100, 92, 83
